,BORO,BLOCK,FROM_LOT,TO_LOT,FILING YEAR,REGULATED,UNREGULATED,OFFICE,OWNER/RELATED SPACE,GOV. RENTAL SUBSIDIES,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES,AMORTIZED LEASE AND TENANT IMP. COSTS,REPAIRS AND MAINT.,tract_10,bbl,repairs_percent_of_expenses,expenses_percent_of_income,repairs_percent_of_income
2,1,01000,0029,,2021,,,129305065.0,,,159048807.0,39952316.0,11508372.0,5936267.0,,1010000029,14.858380175006625,25.11953201887267,3.732355565546619
3,1,01000,0061,,2021,,,,,714647.0,714647.0,1236523.0,,62443.0,,1010000061,5.049885849272517,173.02570359911957,8.737600521656146
4,1,01001,1001,1001.0,2021,,,,,,3625614.0,296800.0,76509.0,7819.0,,1010011001,2.634433962264151,8.186199634048192,0.2156600233781092
5,1,01001,1002,1002.0,2021,,,5732942.0,,,6250719.0,5976876.0,1318212.0,1295230.0,,1010011002,21.670685488539497,95.61901598840069,20.72129622208261
6,1,01001,0001,,2021,,,,,,1898244.0,762461.0,190019.0,238354.0,,1010010001,31.261139914041504,40.16664875537602,12.556552266199708
8,1,00100,1201,1201.0,2021,50162571.0,,,,,42271550.0,14064665.0,24743.0,1732253.0,,1001001201,12.316347385451413,33.27217714987977,4.097916920481979
9,1,01001,0029,,2021,,,186829898.0,56743.0,,206605459.0,48829309.0,8561178.0,5543890.0,,1010010029,11.353611413997278,23.63408461535375,2.683322128482578
12,1,01002,1001,1001.0,2021,,,171592030.0,,,206362347.0,60847585.0,15342235.0,9067946.0,,1010021001,14.90272128302216,29.48579810443811,4.394186309579044
13,1,01002,0001,,2021,,,,,,2689301.0,41639561.0,,5612667.0,,1010020001,13.479169485000094,1548.3414091617115,208.70356274734587
15,1,01003,0029,,2021,,,79382643.0,,,94285090.0,53989294.0,6153889.0,9732690.0,,1010030029,18.02707403434466,57.26175156644597,10.32261834824573
16,1,01004,0020,,2021,,,106418357.0,,,131087204.0,69619877.0,28721673.0,3534748.0,,1010040020,5.0772109235412755,53.109590315161505,2.696485920929399
17,1,01004,0029,,2021,,,119757811.0,,,145403926.0,41825948.0,11995144.0,4402117.0,,1010040029,10.524846920385404,28.76534984344233,3.0275090371356272
18,1,01005,1002,1002.0,2021,,,168371.0,,,2178968.0,440318.0,,77494.0,,1010051002,17.59955305029547,20.207639579837792,3.556454248066057
19,1,01005,0029,,2021,,,99560879.0,,,109799319.0,36669404.0,12416482.0,3753536.0,,1010050029,10.236152188347539,33.39674993794816,3.4185421496102353
22,1,01006,0013,,2021,,,42652833.0,1882027.0,,49351364.0,18871221.0,6684655.0,1783366.0,,1010060013,9.45018872917656,38.2384993452258,3.6136103553287806
23,1,01007,0001,,2021,2259619.0,,,,,2732840.0,972259.0,,126556.0,,1010070001,13.016696168407801,35.5768724111181,4.630933387977342
24,1,01007,0029,,2021,,,122006976.0,,,164091289.0,58071911.0,4874009.0,9478520.0,,1010070029,16.322039066356883,35.39000232973976,5.7763700058447345
25,1,01007,0061,,2021,581580.0,2692889.0,123600.0,,,3423411.0,2811666.0,,352504.0,,1010070061,12.537193251260998,82.13054173162381,10.296864735201236
27,1,01008,1102,1102.0,2021,,,15202739.0,,,16939665.0,10639923.0,3404442.0,748911.0,,1010081102,7.0386881559199255,62.81070493424752,4.421049648856693
28,1,01008,1601,1601.0,2021,1160699.0,,,,,1160699.0,586891.0,,57348.0,,1010081601,9.771490787897582,50.56358280656742,4.940815835974702
30,1,01008,0019,,2021,,,48515236.0,,,62435966.0,10239790.0,3094281.0,1062600.0,,1010080019,10.377165937973338,16.40046700006211,1.701903675199003
31,1,01008,0026,,2021,543923.0,424313.0,,,,1461331.0,1058227.0,,67062.0,,1010080026,6.337203643452681,72.41528442221508,4.589104042821236
33,1,01009,1001,1001.0,2021,,,11461378.0,1868574.0,,14917650.0,7640946.0,2105440.0,744322.0,,1010091001,9.741228376695766,51.220842424912775,4.989539237078226
34,1,01009,0046,,2021,122654.0,869415.0,881382.0,99600.0,,2218977.0,1861859.0,84735.0,154163.0,,1010090046,8.280057727250023,83.90618740077072,6.947480753518401
35,1,01009,0050,,2021,,,,,,1143691.0,749667.0,66176.0,54956.0,,1010090050,7.330721507015782,65.54803701349402,4.805144046774871
36,1,01010,1301,1301.0,2021,,,,,,2025999.0,278302.0,,,,1010101301,,13.736531952878556,
39,1,01010,0021,,2021,,,3271335.0,,,3797931.0,1999735.0,184624.0,221256.0,,1010100021,11.064266015247021,52.65327358501247,5.825698255181571
43,1,01010,0051,,2021,169639.0,1247478.0,95400.0,,,1525817.0,1461577.0,,207874.0,,1010100051,14.22258286768333,95.78979654834099,13.623783192873065
44,1,01011,0013,,2021,320226.0,3453654.0,22500.0,,,3813471.0,2929203.0,,588793.0,,1010110013,20.10079192189821,76.81199096571076,15.43981847508477
45,1,01011,4003,4003.0,2021,,,,,,667329.0,190429.0,5138.0,23.0,,1010114003,0.012077992322597923,28.535999484512136,0.0034465758269159588
48,1,01011,7001,7001.0,2021,,,,,,973624.0,119664.0,,15453.0,,1010117001,12.913658243080626,12.290576238876609,1.5871630115937978
49,1,01012,1101,1103.0,2021,,,4423323.0,,,6638698.0,7120468.0,1606004.0,1089242.0,,1010121101,15.297337197498816,107.25699527226573,16.407464234703852
50,1,01012,0015,,2021,,,3193040.0,9566348.0,,15145277.0,5544824.0,644228.0,473105.0,,1010120015,8.532371811981768,36.610911771372685,3.1237791160901187
51,1,01012,0023,,2021,,,2212550.0,,,2446787.0,438770.0,,60302.0,,1010120023,13.743419103402694,17.932496780471695,2.46453818824442
53,1,01012,0032,,2021,,,788075.0,,,1390399.0,930624.0,,57935.0,,1010120032,6.225392854686747,66.93215400759063,4.166789533076477
54,1,01013,1001,1001.0,2021,,,,,,861005.0,783796.0,38492.0,57440.0,,1010131001,7.328437501594803,91.03268854420125,6.671273685983241
55,1,01013,1002,1002.0,2021,,,82905286.0,586773.0,,99446417.0,28757555.0,8385854.0,3877232.0,,1010131002,13.482481386195733,28.9176381286819,3.898815178026977
56,1,01013,0029,,2021,,,58786347.0,,,75796672.0,16453945.0,,1862719.0,,1010130029,11.32080482826459,21.70800454141311,2.457520826244192
57,1,01014,0001,,2021,,,,,,4804623.0,4765615.0,693279.0,1310258.0,,1010140001,27.493996052975323,99.18811527980446,27.270776500050054
58,1,01014,0033,,2021,,,15201672.0,34961066.0,,57810013.0,14744524.0,2276138.0,3485841.0,,1010140033,23.64159738218745,25.505138703220844,6.029822203983936
59,1,01015,1001,1001.0,2021,,,1586966.0,,,11520612.0,1858315.0,,228262.0,,1010151001,12.283278130995013,16.130349672395877,1.9813357137624288
60,1,01015,0029,,2021,,,22080436.0,,,38928614.0,23524583.0,7966930.0,2918728.0,,1010150029,12.407140224334688,60.43005538291191,7.497641709000994
62,1,01015,0059,,2021,,,467074.0,,,919656.0,195832.0,,72289.0,,1010150059,36.91378324277952,21.294049079220926,7.860439120714702
63,1,00010,0016,,2021,,,13465419.0,,,16371421.0,7656651.0,2082292.0,1145986.0,,1000100016,14.967196493610588,46.76839597491262,6.999917722475038
64,1,01016,0036,,2021,,,68129887.0,,,130072948.0,42966297.0,10818739.0,3832631.0,,1010160036,8.920086829916947,33.03246190745212,2.9465242842039685
65,1,01017,1001,1001.0,2021,,,,,,1669551.0,937947.0,,307183.0,,1010171001,32.75057119432122,56.17959559186871,18.399138450996706
67,1,01017,1002,1002.0,2021,,,,5500000.0,,46088865.0,9827207.0,3469544.0,135301.0,,1010171002,1.3768001427058574,21.32230203542656,0.2935654848519268
68,1,01018,0061,,2021,,,,,,982419.0,317817.0,2675.0,103962.0,,1010180061,32.711277244452,32.35045331981568,10.58224647528193
70,1,01019,1001,1001.0,2021,,,,,,6216749.0,1681328.0,390674.0,285472.0,,1010191001,16.978959489165707,27.04513243175814,4.591982079379432
72,1,01019,1101,1142.0,2021,,,,,,2078938.0,32599810.0,,9681906.0,,1010191101,29.699271253421415,1568.0991929533252,465.7140328379201
75,1,01019,0008,,2021,,,,,,685406.0,20105.0,,,,1010190008,,2.9332979285270335,
77,1,01019,0001,,2021,9160001.0,,,,,11258910.0,6885767.0,392632.0,900846.0,36061012500.0,1010190001,13.08272557000549,61.15838034054807,8.001183063014093
78,1,01020,0036,,2021,,,,,,738285.0,337011.0,,,,1010200036,,45.64781893171336,
80,1,01021,0001,,2021,,17082281.0,,,,21121442.0,6871255.0,,3153754.0,36061012500.0,1010210001,45.89778723100802,32.5321301452808,14.931527875795602
83,1,01022,0035,,2021,,,2382222.0,205738.0,,4527733.0,2389879.0,360439.0,329051.0,,1010220035,13.768521335180568,52.783125683427,7.26745592109782
84,1,01021,0045,,2021,,,36000.0,,,3745999.0,1332092.0,,213741.0,,1010210045,16.045513372950214,35.56039390293484,5.705847759169183
86,1,01023,0051,,2021,69476.0,164715.0,,7050.0,,603202.0,261322.0,,38039.0,,1010230051,14.556371067112606,43.3224690899566,6.306179356169244
87,1,01023,0053,,2021,,,,,,620634.0,213505.0,96950.0,,,1010230053,,34.40111241085728,
89,1,01022,0043,,2021,,,160999808.0,1213462.0,,193191189.0,51181031.0,19949076.0,3465331.0,,1010220043,6.770733086639072,26.492425076383793,1.7937313900997836
90,1,01023,0006,,2021,223285.0,1434642.0,,,,1845891.0,498359.0,,98903.0,,1010230006,19.845733697996828,26.99828971483148,5.358008679819123
91,1,01024,0131,,2021,,,376405.0,,,817067.0,1028255.0,83187.0,166867.0,,1010240131,16.22817297265756,125.84708475559532,20.422682595184973
92,1,01024,0015,,2021,,,55234040.0,,,65405114.0,15046655.0,3989291.0,1982429.0,,1010240015,13.175214025974544,23.005318819565087,3.030999991835501
93,1,01024,0038,,2021,,34548025.0,4387258.0,,,42837818.0,17920434.0,5303180.0,1669299.0,,1010240038,9.31505899912915,41.83320915178266,3.8967881137176503
94,1,01024,0052,,2021,,23090783.0,,,,24591138.0,11893455.0,371891.0,783096.0,,1010240052,6.58425999846134,48.36480117349591,3.184464257001852
95,1,01023,0061,,2021,81692.0,7481051.0,,,,8175382.0,3037947.0,30277.0,439391.0,,1010230061,14.463418881237889,37.15969480080564,5.374562314030096
